"Name","2019 Population","GDP (IMF)","GDP (UN '16)","GDP Per Capita"
"Zimbabwe",17297.495,21.067,16.123763648,1217.922017031946
"Zambia",18137.369,27.217,21.063063977,1500.6035329600452
"Yemen",29579.986,17.452,25.374086438,589.9935179144439
"Vietnam",97429.061,264.939,205.276171343,2719.3015849757603
"Venezuela",32779.867999999995,92.417,291.37643734,2819.3219081907228
"Vanuatu",288.017,1.024,0.83751979,3555.3456914001604
"Uzbekistan",32807.367999999995,47.892,67.778902435,1459.794031633382
"Uruguay",3482.156,66.749,52.419718459,19168.871239542397
"United States",329093.11,21410.23,18624.475,65058.27484507349
"United Kingdom",66959.016,3022.58,2647.898654635,45140.746990666645
"United Arab Emirates",9682.088,427.83,348.74362762,44187.78263531585
"Ukraine",43795.22,126.721,93.270354852,2893.4892894704035
"Uganda",45711.874,29.69,25.307842467,649.5030153434532
"Tuvalu",11.392999999999999,0.045,0.036697185,3949.793732993944
"Turks and Caicos Islands",36.461,0,0.917550492,25165.258550231756
"Turkmenistan",5942.561,46.401,36.179885714,7808.249675518687
"Turkey",82961.805,961.655,863.711710542,11591.539022083718
"Tunisia",11783.168,41.956,41.703561397,3560.6723081602504
"Trinidad and Tobago",1375.443,22.533,24.086176564,16382.358265664227
"Tonga",110.041,0.454,0.401460313,4125.7349533355755
"Togo",8186.384,6.078,4.449262345,742.4523452601295
"Timor-Leste",1352.36,3.029,2.703285752,2239.788222071046
"Thailand",69306.16,520.074,407.026319505,7504.008301715171
"Tanzania",60913.557,61.66,0,1012.2541358075674
"Tajikistan",9292,8.176,6.951679338,879.896685320706
"Taiwan",23758.247000000003,620.6,0,26121.455846468805
"Syria",18499.181,0,22.163075121,1198.0570989061623
"Switzerland",8608.259,779.327,668.851296244,90532.47584674206
"Sweden",10053.135,628.802,514.475856961,62547.85198845932
"Swaziland",1415.414,4.644,4.007002048,3281.0188397175666
"Suriname",573.085,4.226,3.278445033,7374.124257309125
"Sudan",42514.094000000005,0,82.887395895,1949.6451199218777
