Country,Average Temperature,GDP Per Capita
Burkina Faso,28.25,780.7963561852534
Mali,28.25,977.5439658613836
Kiribati,28.2,1826.8176835951767
Djibouti,28.0,2414.552242591484
Tuvalu,28.0,3949.793732993944
Senegal,27.85,1297.3114501262821
Mauritania,27.65,1188.5481455323568
Maldives,27.65,11442.473292040959
Palau,27.6,15356.210033324329
Benin,27.55,1033.7585724641458
Gambia,27.5,520.1799759882409
Marshall Islands,27.4,3965.3455112664674
Ghana,27.2,1884.7412214585056
Bahrain,27.15,24240.244801867764
Niger,27.15,462.40423190696197
Qatar,27.15,70668.00150588523
Seychelles,27.15,17335.060918267118
Togo,27.15,742.4523452601295
Somalia,27.05,525.0646082087487
United Arab Emirates,27.0,44187.78263531585
Sri Lanka,26.95,4741.028045337761
Sudan,26.9,1949.6451199218775
Brunei,26.85,33666.71522479378
Cambodia,26.8,1615.5173143923614
Nigeria,26.8,2366.442477649938
Saint Vincent and the Grenadines,26.8,7883.2090362754325
Guinea-Bissau,26.75,884.4651979835422
Samoa,26.7,4625.23063310358
Grenada,26.65,11477.142200781069
Chad,26.55,773.9808382832168
Singapore,26.45,62674.928733369416
Ivory Coast,26.35,2075.078444576754
Thailand,26.3,7504.008301715171
Sierra Leone,26.05,504.3686366431172
Antigua and Barbuda,26.0,16265.708466238806
Barbados,26.0,19218.842549040106
Guyana,26.0,4972.6131202734105
Indonesia,25.85,4277.305956675653
Philippines,25.85,3290.686732347076
Trinidad and Tobago,25.75,16382.358265664228
Guinea,25.7,873.103660347898
Suriname,25.7,7374.124257309125
Solomon Islands,25.65,2303.0158015533943
Oman,25.6,17120.779707609647
Comoros,25.55,917.8408997426284
Eritrea,25.5,1453.38900294727
Saint Lucia,25.5,10113.380695357266
Malaysia,25.4,12405.230653233892
Panama,25.4,17124.379199549854
Belize,25.3,5091.8558494840245
Kuwait,25.35,32983.49201477815
Venezuela,25.35,2819.321908190723
Liberia,25.3,709.9635977917601
Timor-Leste,25.25,2239.788222071046
Papua New Guinea,25.25,3192.327513167434
Tonga,25.25,4125.734953335576
Cuba,25.2,7804.415332134939
Gabon,25.05,8579.967085471093
Bangladesh,25.0,1861.1387722150928
Brazil,24.95,10625.83515987509
Jamaica,24.95,5451.876054376313
Central African Republic,24.9,483.65929911675204
Haiti,24.9,867.3063143386341
Vietnam,24.45,2719.3015849757603
Nicaragua,24.9,2440.342759594827
Bahamas,24.85,31999.90076780908
Costa Rica,24.8,12971.598100886027
Kenya,24.75,1834.786622051212
Saudi Arabia,24.65,22237.96949221429
Cameroon,24.6,1649.27158159448
Republic of the Congo,24.55,1970.879057528991
Dominican Republic,24.55,7691.801250075704
Equatorial Guinea,24.55,8371.418656220407
Colombia,24.5,6961.449688743096
Saint Kitts and Nevis,24.5,18173.75099831396
El Salvador,24.45,4764.479501288127
Fiji,24.4,6306.346509468772
Vanuatu,23.95,3555.3456914001604
Yemen,23.85,589.9935179144439
Mozambique,23.8,478.11406368204246
India,23.65,2305.211897849109
Paraguay,23.55,4957.761987607815
Honduras,23.5,2594.1905515155263
Guatemala,23.45,4996.005766805732
Cape Verde,23.3,3745.879799910413
Laos,22.8,2839.51200992265
Uganda,22.8,649.5030153434532
